,Type,Duration(us),Name
881,Conv2DBackpropFilter,141.422,Conv2DBackpropFilter
882,ReluGrad,8.5,
883,BNTrainingGrad,204.523,BNTrainingGrad
884,Conv2DBackpropInput,304.667,Conv2DBackpropInput
885,Conv2DBackpropFilter,105.28200000000001,Conv2DBackpropFilter
886,Add,9.7,
887,ReluGrad,13.64,
888,BNTrainingGrad,694.8140000000001,BNTrainingGrad
889,Conv2DBackpropInput,285.627,Conv2DBackpropInput
890,Conv2DBackpropFilter,123.26200000000001,Conv2DBackpropFilter
891,ReluGrad,8.58,
892,BNTrainingGrad,204.32299999999998,BNTrainingGrad
893,Conv2DBackpropInput,460.648,Conv2DBackpropInput
894,Conv2DBackpropFilter,144.023,Conv2DBackpropFilter
895,ReluGrad,8.54,
896,BNTrainingGrad,205.384,BNTrainingGrad
897,Conv2DBackpropInput,306.88599999999997,Conv2DBackpropInput
898,Conv2DBackpropFilter,98.182,Conv2DBackpropFilter
899,Add,9.52,
900,ReluGrad,13.96,
901,BNTrainingGrad,696.0939999999999,BNTrainingGrad
902,Conv2DBackpropInput,285.686,Conv2DBackpropInput
903,Conv2DBackpropFilter,122.782,Conv2DBackpropFilter
904,ReluGrad,8.6,
905,BNTrainingGrad,204.084,BNTrainingGrad
906,Conv2DBackpropInput,463.09000000000003,Conv2DBackpropInput
907,Conv2DBackpropFilter,145.483,Conv2DBackpropFilter
908,ReluGrad,9.08,
909,BNTrainingGrad,204.62399999999997,BNTrainingGrad
910,Conv2DBackpropInput,305.68600000000004,Conv2DBackpropInput
911,Conv2DBackpropFilter,97.42099999999999,Conv2DBackpropFilter
912,Add,9.56,
913,ReluGrad,13.66,
914,BNTrainingGrad,698.394,BNTrainingGrad
915,Conv2DBackpropInput,286.125,Conv2DBackpropInput
916,Conv2DBackpropFilter,124.222,Conv2DBackpropFilter
917,ReluGrad,8.6,
918,BNTrainingGrad,209.404,BNTrainingGrad
919,Conv2DBackpropInput,468.849,Conv2DBackpropInput
920,Conv2DBackpropFilter,154.802,Conv2DBackpropFilter
921,ReluGrad,8.5,
922,BNTrainingGrad,204.304,BNTrainingGrad
923,Conv2DBackpropInput,306.06600000000003,Conv2DBackpropInput
924,Conv2DBackpropFilter,96.942,Conv2DBackpropFilter
925,Add,9.56,
926,ReluGrad,13.92,
927,BNTrainingGrad,695.814,BNTrainingGrad
928,Conv2DBackpropInput,290.345,Conv2DBackpropInput
929,Conv2DBackpropFilter,124.942,Conv2DBackpropFilter
930,ReluGrad,14.4,
931,BNTrainingGrad,203.804,BNTrainingGrad
932,Conv2DBackpropInput,463.06899999999996,Conv2DBackpropInput
933,Conv2DBackpropFilter,140.903,Conv2DBackpropFilter
934,ReluGrad,8.64,
935,BNTrainingGrad,204.624,BNTrainingGrad
936,Conv2DBackpropInput,305.206,Conv2DBackpropInput
