ID,Type,Duration(ms)
770,A_BNTrainingUpdateGrad,0.12134200000000002
771,A_BNTrainingReduceGrad,0.082322
772,Conv2DBackpropInput,0.464149
773,Conv2DBackpropFilter,0.142383
775,A_BNTrainingUpdateGrad,0.122202
776,A_BNTrainingReduceGrad,0.08288200000000001
777,Conv2DBackpropInput,0.30544600000000005
778,Conv2DBackpropFilter,0.097262
779,Add,0.009519999999999999
780,ReluGrad,0.01392
781,A_BNTrainingUpdateGrad,0.256385
782,A_BNTrainingReduceGrad,0.439829
783,Conv2DBackpropInput,0.28576399999999996
784,Conv2DBackpropFilter,0.124862
786,A_BNTrainingUpdateGrad,0.12152199999999999
787,A_BNTrainingReduceGrad,0.082982
788,Conv2DBackpropInput,0.46190899999999996
789,Conv2DBackpropFilter,0.143404
791,A_BNTrainingUpdateGrad,0.122102
792,A_BNTrainingReduceGrad,0.082842
793,Conv2DBackpropInput,0.30928500000000003
794,Conv2DBackpropFilter,0.09800199999999999
795,Add,0.009519999999999999
796,ReluGrad,0.014021
797,A_BNTrainingUpdateGrad,0.25482499999999997
798,A_BNTrainingReduceGrad,0.440309
799,Conv2DBackpropInput,0.28512400000000004
800,Conv2DBackpropFilter,0.12768300000000002
802,A_BNTrainingUpdateGrad,0.121442
803,A_BNTrainingReduceGrad,0.086642
804,Conv2DBackpropInput,0.462329
805,Conv2DBackpropFilter,0.141982
807,A_BNTrainingUpdateGrad,0.123402
808,A_BNTrainingReduceGrad,0.08302200000000001
809,Conv2DBackpropInput,0.306565
810,Conv2DBackpropFilter,0.096941
811,Add,0.00956
812,ReluGrad,0.013859999999999999
813,A_BNTrainingUpdateGrad,0.255065
814,A_BNTrainingReduceGrad,0.440169
815,Conv2DBackpropInput,0.286027
816,Conv2DBackpropFilter,0.124622
818,A_BNTrainingUpdateGrad,0.12194200000000001
819,A_BNTrainingReduceGrad,0.082642
820,Conv2DBackpropInput,0.463349
821,Conv2DBackpropFilter,0.142224
823,A_BNTrainingUpdateGrad,0.121682
824,A_BNTrainingReduceGrad,0.082802
